2025-03-20T17:20:59.356+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] c.e.c.SpringBootWithElkApplication:53 - Starting SpringBootWithElkApplication using Java 21.0.5 with PID 15708 (E:\Practic-2025\Spring-Boot-With-ELK\target\classes started by kaush in E:\Practic-2025\Spring-Boot-With-ELK)
 15708 --- [Spring-Boot-With-ELK] [main] c.e.config.SpringBootWithElkApplication  : Starting SpringBootWithElkApplication using Java 21.0.5 with PID 15708 (E:\Practic-2025\Spring-Boot-With-ELK\target\classes started by kaush in E:\Practic-2025\Spring-Boot-With-ELK)
2025-03-20T17:20:59.364+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] c.e.c.SpringBootWithElkApplication:652 - No active profile set, falling back to 1 default profile: "default"
 15708 --- [Spring-Boot-With-ELK] [main] c.e.config.SpringBootWithElkApplication  : No active profile set, falling back to 1 default profile: "default"
2025-03-20T17:21:04.140+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] o.s.b.w.e.t.TomcatWebServer:111 - Tomcat initialized with port 8080 (http)
 15708 --- [Spring-Boot-With-ELK] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-03-20T17:21:04.205+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] o.a.c.c.StandardService:173 - Starting service [Tomcat]
 15708 --- [Spring-Boot-With-ELK] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-03-20T17:21:04.207+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.36]
 15708 --- [Spring-Boot-With-ELK] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-20T17:21:04.451+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
 15708 --- [Spring-Boot-With-ELK] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-03-20T17:21:04.453+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext:301 - Root WebApplicationContext: initialization completed in 4901 ms
 15708 --- [Spring-Boot-With-ELK] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4901 ms
2025-03-20T17:21:05.653+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] o.s.b.w.e.t.TomcatWebServer:243 - Tomcat started on port 8080 (http) with context path '/'
 15708 --- [Spring-Boot-With-ELK] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-03-20T17:21:05.695+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [main] c.e.c.SpringBootWithElkApplication:59 - Started SpringBootWithElkApplication in 7.934 seconds (process running for 9.551)
 15708 --- [Spring-Boot-With-ELK] [main] c.e.config.SpringBootWithElkApplication  : Started SpringBootWithElkApplication in 7.934 seconds (process running for 9.551)
2025-03-20T17:21:17.246+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [http-nio-8080-exec-1] o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
 15708 --- [Spring-Boot-With-ELK] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-20T17:21:17.247+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet:532 - Initializing Servlet 'dispatcherServlet'
 15708 --- [Spring-Boot-With-ELK] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-03-20T17:21:17.256+05:30 d{yyyy-MM-dd HH:mm:ss} INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet:554 - Completed initialization in 2 ms
 15708 --- [Spring-Boot-With-ELK] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
